ภาค,จังหวัด,ประเภทคดีอาชญากรรม,ประเภทความผิด,2550,2551,2552,2553,2554,2555,2556,2557,2558,2559,,
ภาคกลาง,สระแก้ว,จับกุม,ปล้นทรัพย์,2,2,1,2,0,0,1,0,1,0,,
ภาคกลาง,สระแก้ว,จับกุม,รับของโจร,1,2,4,1,3,0,0,1,0,6,,
ภาคกลาง,สระแก้ว,จับกุม,ทำให้เสียทรัพย์,6,7,10,13,13,11,17,54,78,83,,
ภาคกลาง,ราชบุรี,รับแจ้ง,รวม,"1,129",773,612,633,544,598,574,617,676,707,,
ภาคกลาง,ราชบุรี,รับแจ้ง,ลักทรัพย์,959,653,486,514,476,520,493,515,585,613,,
ภาคกลาง,ราชบุรี,รับแจ้ง,วิ่งราวทรัพย์,55,30,38,24,18,17,27,31,32,27,,
ภาคกลาง,ราชบุรี,รับแจ้ง,รีดเอาทรัพย์,0,0,0,0,0,0,0,0,0,0,,
ภาคกลาง,ราชบุรี,รับแจ้ง,กรรโชกทรัพย์,3,0,0,0,0,3,1,2,2,2,,
ภาคกลาง,ราชบุรี,รับแจ้ง,ชิงทรัพย์ (รวม),40,34,35,48,12,22,10,14,6,13,,
ภาคกลาง,ราชบุรี,รับแจ้ง,บาดเจ็บ,4,8,6,7,1,7,5,4,3,2,,
ภาคกลาง,ราชบุรี,รับแจ้ง,ไม่บาดเจ็บ,36,26,29,41,11,15,5,10,3,11,,
ภาคกลาง,ราชบุรี,รับแจ้ง,ปล้นทรัพย์,11,13,8,10,2,4,0,0,1,0,,
ภาคกลาง,ราชบุรี,รับแจ้ง,รับของโจร,1,5,3,3,2,0,2,1,2,2,,
ภาคกลาง,ราชบุรี,รับแจ้ง,ทำให้เสียทรัพย์,60,38,42,34,34,32,41,54,48,50,,
ภาคกลาง,ราชบุรี,จับกุม,รวม,431,444,367,403,357,338,356,330,314,459,,
ภาคกลาง,ราชบุรี,จับกุม,ลักทรัพย์,352,368,273,311,312,286,301,272,255,402,,
ภาคกลาง,ราชบุรี,จับกุม,วิ่งราวทรัพย์,22,20,30,21,12,15,16,18,21,20,,
ภาคกลาง,ราชบุรี,จับกุม,รีดเอาทรัพย์,0,0,0,0,0,0,0,0,0,0,,
ภาคกลาง,ราชบุรี,จับกุม,กรรโชกทรัพย์,2,0,0,0,0,3,1,2,2,1,,
ภาคกลาง,ราชบุรี,จับกุม,ชิงทรัพย์ (รวม),23,21,28,40,11,19,9,13,5,12,,
ภาคกลาง,ราชบุรี,จับกุม,บาดเจ็บ,2,3,3,6,1,7,5,4,3,2,,
ภาคกลาง,ราชบุรี,จับกุม,ไม่บาดเจ็บ,21,18,25,34,10,12,4,9,2,10,,
ภาคกลาง,ราชบุรี,จับกุม,ปล้นทรัพย์,7,8,8,9,2,4,0,0,1,0,,
ภาคกลาง,ราชบุรี,จับกุม,รับของโจร,1,4,3,3,2,0,2,1,2,1,,
ภาคกลาง,ราชบุรี,จับกุม,ทำให้เสียทรัพย์,24,23,25,19,18,11,27,24,28,23,,
ภาคกลาง,กาญจนบุรี,รับแจ้ง,รวม,947,740,667,727,588,605,591,575,682,619,,
ภาคกลาง,กาญจนบุรี,รับแจ้ง,ลักทรัพย์,788,634,569,627,507,499,519,502,568,525,,
ภาคกลาง,กาญจนบุรี,รับแจ้ง,วิ่งราวทรัพย์,46,33,26,29,19,46,20,21,30,19,,
ภาคกลาง,กาญจนบุรี,รับแจ้ง,รีดเอาทรัพย์,0,0,0,0,0,0,0,0,0,0,,
ภาคกลาง,กาญจนบุรี,รับแจ้ง,กรรโชกทรัพย์,1,1,0,0,0,0,0,0,0,1,,
ภาคกลาง,กาญจนบุรี,รับแจ้ง,ชิงทรัพย์ (รวม),29,16,17,14,9,7,12,13,16,9,,
ภาคกลาง,กาญจนบุรี,รับแจ้ง,บาดเจ็บ,10,8,8,6,2,3,0,1,9,8,,
ภาคกลาง,กาญจนบุรี,รับแจ้ง,ไม่บาดเจ็บ,19,8,9,8,7,4,12,12,7,1,,
ภาคกลาง,กาญจนบุรี,รับแจ้ง,ปล้นทรัพย์,6,3,3,4,2,7,1,2,2,3,,
ภาคกลาง,กาญจนบุรี,รับแจ้ง,รับของโจร,1,2,0,1,1,0,3,1,3,2,,
ภาคกลาง,กาญจนบุรี,รับแจ้ง,ทำให้เสียทรัพย์,76,51,52,52,50,46,36,36,63,60,,
ภาคกลาง,กาญจนบุรี,จับกุม,รวม,323,385,295,358,337,310,399,327,387,346,,
ภาคกลาง,กาญจนบุรี,จับกุม,ลักทรัพย์,252,317,231,309,293,243,339,284,305,291,,
ภาคกลาง,กาญจนบุรี,จับกุม,วิ่งราวทรัพย์,31,22,17,18,13,35,17,15,22,12,,
ภาคกลาง,กาญจนบุรี,จับกุม,รีดเอาทรัพย์,0,0,0,0,0,0,0,0,0,0,,
ภาคกลาง,กาญจนบุรี,จับกุม,กรรโชกทรัพย์,0,1,0,0,0,0,0,0,0,1,,
ภาคกลาง,กาญจนบุรี,จับกุม,ชิงทรัพย์ (รวม),11,11,16,9,7,2,12,12,12,7,,
ภาคกลาง,กาญจนบุรี,จับกุม,บาดเจ็บ,5,6,7,3,1,1,0,1,6,6,,
ภาคกลาง,กาญจนบุรี,จับกุม,ไม่บาดเจ็บ,6,5,9,6,6,1,12,11,6,1,,
ภาคกลาง,กาญจนบุรี,จับกุม,ปล้นทรัพย์,2,3,2,2,2,6,1,2,1,3,,
ภาคกลาง,กาญจนบุรี,จับกุม,รับของโจร,1,2,0,0,1,0,3,1,3,2,,
ภาคกลาง,กาญจนบุรี,จับกุม,ทำให้เสียทรัพย์,26,29,29,20,21,24,27,13,44,30,,
ภาคกลาง,สุพรรณบุรี,รับแจ้ง,รวม,906,784,657,738,692,553,751,603,640,587,,
ภาคกลาง,สุพรรณบุรี,รับแจ้ง,ลักทรัพย์,806,694,557,630,584,462,641,508,544,481,,
ภาคกลาง,สุพรรณบุรี,รับแจ้ง,วิ่งราวทรัพย์,30,41,20,31,35,25,44,32,33,35,,
ภาคกลาง,สุพรรณบุรี,รับแจ้ง,รีดเอาทรัพย์,1,0,0,0,0,0,0,0,1,0,,
ภาคกลาง,สุพรรณบุรี,รับแจ้ง,กรรโชกทรัพย์,1,0,0,3,2,2,1,4,3,3,,
ภาคกลาง,สุพรรณบุรี,รับแจ้ง,ชิงทรัพย์ (รวม),21,16,29,20,13,13,14,17,19,12,,
ภาคกลาง,สุพรรณบุรี,รับแจ้ง,บาดเจ็บ,13,7,13,5,2,4,3,1,3,9,,
ภาคกลาง,สุพรรณบุรี,รับแจ้ง,ไม่บาดเจ็บ,8,9,16,15,11,9,11,16,16,3,,
ภาคกลาง,สุพรรณบุรี,รับแจ้ง,ปล้นทรัพย์,6,2,14,10,3,4,6,8,5,1,,
ภาคกลาง,สุพรรณบุรี,รับแจ้ง,รับของโจร,4,3,1,2,2,1,3,1,1,6,,
ภาคกลาง,สุพรรณบุรี,รับแจ้ง,ทำให้เสียทรัพย์,37,28,36,42,53,46,42,33,34,49,,
ภาคกลาง,สุพรรณบุรี,จับกุม,รวม,325,399,310,374,424,324,403,389,300,276,,
ภาคกลาง,สุพรรณบุรี,จับกุม,ลักทรัพย์,279,334,240,297,350,259,325,313,227,211,,
ภาคกลาง,สุพรรณบุรี,จับกุม,วิ่งราวทรัพย์,14,29,14,19,27,17,31,20,18,26,,
ภาคกลาง,สุพรรณบุรี,จับกุม,รีดเอาทรัพย์,1,0,0,0,0,0,0,0,1,0,,
ภาคกลาง,สุพรรณบุรี,จับกุม,กรรโชกทรัพย์,0,0,0,2,2,2,1,4,3,1,,
ภาคกลาง,สุพรรณบุรี,จับกุม,ชิงทรัพย์ (รวม),4,11,23,14,8,10,9,17,18,10,,
ภาคกลาง,สุพรรณบุรี,จับกุม,บาดเจ็บ,2,3,9,3,1,4,2,1,3,8,,
ภาคกลาง,สุพรรณบุรี,จับกุม,ไม่บาดเจ็บ,2,8,14,11,7,6,7,16,15,2,,
ภาคกลาง,สุพรรณบุรี,จับกุม,ปล้นทรัพย์,4,2,8,10,2,2,5,7,5,1,,
ภาคกลาง,สุพรรณบุรี,จับกุม,รับของโจร,3,3,1,2,2,1,3,1,1,5,,
ภาคกลาง,สุพรรณบุรี,จับกุม,ทำให้เสียทรัพย์,20,20,24,30,33,33,29,27,27,22,,
ภาคกลาง,นครปฐม,รับแจ้ง,รวม,"1,595",970,831,946,"1,080",961,905,850,841,836,,
ภาคกลาง,นครปฐม,รับแจ้ง,ลักทรัพย์,"1,335",814,698,827,944,835,772,710,702,684,,
ภาคกลาง,นครปฐม,รับแจ้ง,วิ่งราวทรัพย์,78,64,39,31,38,27,47,57,34,38,,
ภาคกลาง,นครปฐม,รับแจ้ง,รีดเอาทรัพย์,0,0,1,1,0,0,1,0,0,0,,
ภาคกลาง,นครปฐม,รับแจ้ง,กรรโชกทรัพย์,7,1,5,8,3,3,5,7,1,4,,
ภาคกลาง,นครปฐม,รับแจ้ง,ชิงทรัพย์ (รวม),51,25,29,24,21,28,27,25,41,34,,
ภาคกลาง,นครปฐม,รับแจ้ง,บาดเจ็บ,14,7,13,8,5,4,4,3,8,13,,
ภาคกลาง,นครปฐม,รับแจ้ง,ไม่บาดเจ็บ,37,18,16,16,16,24,23,22,33,21,,
ภาคกลาง,นครปฐม,รับแจ้ง,ปล้นทรัพย์,17,9,7,9,10,4,6,9,9,11,,
ภาคกลาง,นครปฐม,รับแจ้ง,รับของโจร,2,3,1,3,1,1,2,1,2,5,,
ภาคกลาง,นครปฐม,รับแจ้ง,ทำให้เสียทรัพย์,105,54,51,43,63,63,45,41,52,60,,
ภาคกลาง,นครปฐม,จับกุม,รวม,602,655,450,588,440,421,452,407,390,485,,
ภาคกลาง,นครปฐม,จับกุม,ลักทรัพย์,491,534,348,509,364,336,366,322,288,369,,
ภาคกลาง,นครปฐม,จับกุม,วิ่งราวทรัพย์,40,52,31,21,24,18,26,40,24,30,,
ภาคกลาง,นครปฐม,จับกุม,รีดเอาทรัพย์,0,0,1,0,0,0,0,0,0,0,,
ภาคกลาง,นครปฐม,จับกุม,กรรโชกทรัพย์,5,1,4,3,3,1,5,2,1,3,,
ภาคกลาง,นครปฐม,จับกุม,ชิงทรัพย์ (รวม),26,20,25,20,18,26,24,19,35,29,,
ภาคกลาง,นครปฐม,จับกุม,บาดเจ็บ,6,6,10,5,5,4,2,1,7,11,,
ภาคกลาง,นครปฐม,จับกุม,ไม่บาดเจ็บ,20,14,15,15,13,22,22,18,28,18,,
ภาคกลาง,นครปฐม,จับกุม,ปล้นทรัพย์,11,6,4,5,9,4,6,8,9,10,,
ภาคกลาง,นครปฐม,จับกุม,รับของโจร,1,3,1,3,1,0,2,1,2,3,,
ภาคกลาง,นครปฐม,จับกุม,ทำให้เสียทรัพย์,28,39,36,27,21,36,23,15,31,41,,
ภาคกลาง,สมุทรสาคร,รับแจ้ง,รวม,"1,402",831,747,651,494,507,500,415,407,406,,
ภาคกลาง,สมุทรสาคร,รับแจ้ง,ลักทรัพย์,"1,233",715,610,539,426,429,424,339,351,345,,
ภาคกลาง,สมุทรสาคร,รับแจ้ง,วิ่งราวทรัพย์,60,39,29,20,22,34,26,14,23,12,,
ภาคกลาง,สมุทรสาคร,รับแจ้ง,รีดเอาทรัพย์,1,2,0,1,0,0,0,0,0,1,,
ภาคกลาง,สมุทรสาคร,รับแจ้ง,กรรโชกทรัพย์,2,1,3,1,2,2,3,4,2,4,,
ภาคกลาง,สมุทรสาคร,รับแจ้ง,ชิงทรัพย์ (รวม),42,25,19,21,22,5,21,17,9,13,,
ภาคกลาง,สมุทรสาคร,รับแจ้ง,บาดเจ็บ,16,9,8,5,2,1,4,3,2,4,,
ภาคกลาง,สมุทรสาคร,รับแจ้ง,ไม่บาดเจ็บ,26,16,11,16,20,4,17,14,7,9,,
ภาคกลาง,สมุทรสาคร,รับแจ้ง,ปล้นทรัพย์,21,8,8,11,1,11,7,13,7,6,,
ภาคกลาง,สมุทรสาคร,รับแจ้ง,รับของโจร,4,4,1,5,0,1,2,3,0,4,,
ภาคกลาง,สมุทรสาคร,รับแจ้ง,ทำให้เสียทรัพย์,39,37,77,53,21,25,17,25,15,21,,
ภาคกลาง,สมุทรสาคร,จับกุม,รวม,467,519,370,457,352,344,330,234,278,329,,
ภาคกลาง,สมุทรสาคร,จับกุม,ลักทรัพย์,367,440,255,360,298,287,271,183,232,277,,
ภาคกลาง,สมุทรสาคร,จับกุม,วิ่งราวทรัพย์,41,25,24,16,18,26,20,12,18,9,,
ภาคกลาง,สมุทรสาคร,จับกุม,รีดเอาทรัพย์,0,2,0,1,0,0,0,0,0,1,,
ภาคกลาง,สมุทรสาคร,จับกุม,กรรโชกทรัพย์,2,1,1,1,0,1,3,4,2,4,,
ภาคกลาง,สมุทรสาคร,จับกุม,ชิงทรัพย์ (รวม),30,20,14,18,21,5,18,17,8,12,,
ภาคกลาง,สมุทรสาคร,จับกุม,บาดเจ็บ,13,7,6,4,2,1,2,3,2,4,,
ภาคกลาง,สมุทรสาคร,จับกุม,ไม่บาดเจ็บ,17,13,8,14,19,4,16,14,6,8,,
ภาคกลาง,สมุทรสาคร,จับกุม,ปล้นทรัพย์,13,8,8,9,1,11,6,11,6,5,,
ภาคกลาง,สมุทรสาคร,จับกุม,รับของโจร,4,4,1,5,0,1,0,2,0,3,,
ภาคกลาง,สมุทรสาคร,จับกุม,ทำให้เสียทรัพย์,10,19,67,47,14,13,12,5,12,18,,
ภาคกลาง,สมุทรสงคราม,รับแจ้ง,รวม,186,190,220,141,149,141,128,134,127,153,,
ภาคกลาง,สมุทรสงคราม,รับแจ้ง,ลักทรัพย์,158,162,180,120,134,116,102,106,108,125,,
ภาคกลาง,สมุทรสงคราม,รับแจ้ง,วิ่งราวทรัพย์,3,12,17,6,1,5,10,5,6,6,,
ภาคกลาง,สมุทรสงคราม,รับแจ้ง,รีดเอาทรัพย์,0,0,0,0,0,0,0,0,0,0,,
ภาคกลาง,สมุทรสงคราม,รับแจ้ง,กรรโชกทรัพย์,0,0,0,0,0,1,1,0,0,1,,
ภาคกลาง,สมุทรสงคราม,รับแจ้ง,ชิงทรัพย์ (รวม),4,6,7,3,3,5,2,12,0,6,,
ภาคกลาง,สมุทรสงคราม,รับแจ้ง,บาดเจ็บ,1,3,1,2,0,0,1,1,0,2,,
ภาคกลาง,สมุทรสงคราม,รับแจ้ง,ไม่บาดเจ็บ,3,3,6,1,3,5,1,11,0,4,,
ภาคกลาง,สมุทรสงคราม,รับแจ้ง,ปล้นทรัพย์,4,0,2,0,3,1,1,0,0,0,,
ภาคกลาง,สมุทรสงคราม,รับแจ้ง,รับของโจร,0,0,1,0,1,0,0,0,0,0,,
ภาคกลาง,สมุทรสงคราม,รับแจ้ง,ทำให้เสียทรัพย์,17,10,13,12,7,13,12,11,13,15,,
ภาคกลาง,สมุทรสงคราม,จับกุม,รวม,62,87,107,54,79,70,69,63,49,41,,
ภาคกลาง,สมุทรสงคราม,จับกุม,ลักทรัพย์,55,72,77,42,68,56,55,43,41,34,,
ภาคกลาง,สมุทรสงคราม,จับกุม,วิ่งราวทรัพย์,1,8,14,3,0,3,8,5,1,0,,
ภาคกลาง,สมุทรสงคราม,จับกุม,รีดเอาทรัพย์,0,0,0,0,0,0,0,0,0,0,,
ภาคกลาง,สมุทรสงคราม,จับกุม,กรรโชกทรัพย์,0,0,0,0,0,1,0,0,0,1,,
ภาคกลาง,สมุทรสงคราม,จับกุม,ชิงทรัพย์ (รวม),1,4,5,1,3,3,0,11,0,2,,
ภาคกลาง,สมุทรสงคราม,จับกุม,บาดเจ็บ,0,1,0,1,0,0,0,1,0,1,,
ภาคกลาง,สมุทรสงคราม,จับกุม,ไม่บาดเจ็บ,1,3,5,0,3,3,0,10,0,1,,
ภาคกลาง,สมุทรสงคราม,จับกุม,ปล้นทรัพย์,3,0,1,0,3,1,0,0,0,0,,
ภาคกลาง,สมุทรสงคราม,จับกุม,รับของโจร,0,0,1,0,1,0,0,0,0,0,,
ภาคกลาง,สมุทรสงคราม,จับกุม,ทำให้เสียทรัพย์,2,3,9,8,4,6,6,4,7,4,,
ภาคกลาง,เพชรบุรี,รับแจ้ง,รวม,564,448,434,342,295,320,362,369,341,347,,
ภาคกลาง,เพชรบุรี,รับแจ้ง,ลักทรัพย์,470,382,363,279,238,281,309,323,280,291,,
ภาคกลาง,เพชรบุรี,รับแจ้ง,วิ่งราวทรัพย์,38,26,22,13,26,7,20,14,25,7,,
ภาคกลาง,เพชรบุรี,รับแจ้ง,รีดเอาทรัพย์,2,0,0,0,0,0,1,0,0,0,,
ภาคกลาง,เพชรบุรี,รับแจ้ง,กรรโชกทรัพย์,1,1,2,4,0,0,0,1,2,2,,
ภาคกลาง,เพชรบุรี,รับแจ้ง,ชิงทรัพย์ (รวม),15,3,12,12,4,8,10,6,3,7,,
ภาคกลาง,เพชรบุรี,รับแจ้ง,บาดเจ็บ,5,1,4,5,0,2,1,0,3,5,,
ภาคกลาง,เพชรบุรี,รับแจ้ง,ไม่บาดเจ็บ,10,2,8,7,4,6,9,6,0,2,,
ภาคกลาง,เพชรบุรี,รับแจ้ง,ปล้นทรัพย์,2,1,1,4,5,4,3,1,0,0,,
ภาคกลาง,เพชรบุรี,รับแจ้ง,รับของโจร,2,0,0,0,1,1,2,0,3,2,,
ภาคกลาง,เพชรบุรี,รับแจ้ง,ทำให้เสียทรัพย์,34,35,34,30,21,19,17,24,28,38,,
ภาคกลาง,เพชรบุรี,จับกุม,รวม,281,309,222,223,197,191,202,234,230,200,,
ภาคกลาง,เพชรบุรี,จับกุม,ลักทรัพย์,233,255,177,176,152,165,158,195,182,168,,
ภาคกลาง,เพชรบุรี,จับกุม,วิ่งราวทรัพย์,22,22,13,10,22,5,16,13,20,7,,
ภาคกลาง,เพชรบุรี,จับกุม,รีดเอาทรัพย์,0,0,0,0,0,0,1,0,0,0,,
ภาคกลาง,เพชรบุรี,จับกุม,กรรโชกทรัพย์,0,1,2,3,0,0,0,1,2,2,,
ภาคกลาง,เพชรบุรี,จับกุม,ชิงทรัพย์ (รวม),10,1,8,11,3,8,10,6,2,4,,
ภาคกลาง,เพชรบุรี,จับกุม,บาดเจ็บ,4,1,2,4,0,2,1,0,2,3,,
ภาคกลาง,เพชรบุรี,จับกุม,ไม่บาดเจ็บ,6,0,6,7,3,6,9,6,0,1,,
ภาคกลาง,เพชรบุรี,จับกุม,ปล้นทรัพย์,2,1,1,3,5,3,3,1,0,0,,
ภาคกลาง,เพชรบุรี,จับกุม,รับของโจร,1,0,0,0,1,1,1,0,3,2,,
ภาคกลาง,เพชรบุรี,จับกุม,ทำให้เสียทรัพย์,13,29,21,20,14,9,13,18,21,17,,
ภาคกลาง,ประจวบคีรีขันธ์,รับแจ้ง,รวม,446,450,462,433,381,481,419,470,433,345,,
ภาคกลาง,ประจวบคีรีขันธ์,รับแจ้ง,ลักทรัพย์,375,370,384,360,336,431,366,394,348,288,,
ภาคกลาง,ประจวบคีรีขันธ์,รับแจ้ง,วิ่งราวทรัพย์,12,12,33,23,9,12,25,23,22,12,,
ภาคกลาง,ประจวบคีรีขันธ์,รับแจ้ง,รีดเอาทรัพย์,0,1,0,0,0,0,0,2,0,0,,
ภาคกลาง,ประจวบคีรีขันธ์,รับแจ้ง,กรรโชกทรัพย์,3,3,1,0,0,2,2,3,3,2,,
ภาคกลาง,ประจวบคีรีขันธ์,รับแจ้ง,ชิงทรัพย์ (รวม),16,2,7,9,7,2,3,7,6,6,,
ภาคกลาง,ประจวบคีรีขันธ์,รับแจ้ง,บาดเจ็บ,7,2,1,4,3,0,2,1,3,2,,
ภาคกลาง,ประจวบคีรีขันธ์,รับแจ้ง,ไม่บาดเจ็บ,9,0,6,5,4,2,1,6,3,4,,
ภาคกลาง,ประจวบคีรีขันธ์,รับแจ้ง,ปล้นทรัพย์,5,2,2,1,1,1,0,1,2,1,,
ภาคกลาง,ประจวบคีรีขันธ์,รับแจ้ง,รับของโจร,0,0,0,3,0,1,2,1,1,1,,
ภาคกลาง,ประจวบคีรีขันธ์,รับแจ้ง,ทำให้เสียทรัพย์,35,60,35,37,28,32,21,39,51,35,,
ภาคกลาง,ประจวบคีรีขันธ์,จับกุม,รวม,231,233,228,261,195,266,234,278,251,173,,
ภาคกลาง,ประจวบคีรีขันธ์,จับกุม,ลักทรัพย์,191,182,174,208,167,239,191,227,185,132,,
ภาคกลาง,ประจวบคีรีขันธ์,จับกุม,วิ่งราวทรัพย์,8,10,29,19,8,10,24,19,19,10,,
ภาคกลาง,ประจวบคีรีขันธ์,จับกุม,รีดเอาทรัพย์,0,1,0,0,0,0,0,1,0,0,,
ภาคกลาง,ประจวบคีรีขันธ์,จับกุม,กรรโชกทรัพย์,3,3,0,0,0,1,2,2,3,2,,
ภาคกลาง,ประจวบคีรีขันธ์,จับกุม,ชิงทรัพย์ (รวม),13,1,5,6,6,1,3,6,5,5,,
ภาคกลาง,ประจวบคีรีขันธ์,จับกุม,บาดเจ็บ,6,1,1,2,2,0,2,1,2,1,,
ภาคกลาง,ประจวบคีรีขันธ์,จับกุม,ไม่บาดเจ็บ,7,0,4,4,4,1,1,5,3,4,,
ภาคกลาง,ประจวบคีรีขันธ์,จับกุม,ปล้นทรัพย์,1,2,1,1,0,1,0,1,2,1,,
ภาคกลาง,ประจวบคีรีขันธ์,จับกุม,รับของโจร,0,0,0,3,0,0,2,0,1,1,,
ภาคกลาง,ประจวบคีรีขันธ์,จับกุม,ทำให้เสียทรัพย์,15,34,19,24,14,14,12,22,36,22,,
ภาคเหนือ,เชียงใหม่,รับแจ้ง,รวม,"2,575","2,112","2,159","2,065","2,089","1,718","1,828","1,615","1,608","1,451",,
ภาคเหนือ,เชียงใหม่,รับแจ้ง,ลักทรัพย์,"2,184","1,830","1,907","1,798","1,872","1,544","1,617","1,429","1,415","1,290",,
ภาคเหนือ,เชียงใหม่,รับแจ้ง,วิ่งราวทรัพย์,86,91,66,74,48,55,77,77,64,49,,
ภาคเหนือ,เชียงใหม่,รับแจ้ง,รีดเอาทรัพย์,0,0,0,1,0,1,0,1,1,2,,
ภาคเหนือ,เชียงใหม่,รับแจ้ง,กรรโชกทรัพย์,6,11,10,11,8,10,0,2,2,9,,
ภาคเหนือ,เชียงใหม่,รับแจ้ง,ชิงทรัพย์ (รวม),39,34,27,40,31,19,27,18,24,12,,
ภาคเหนือ,เชียงใหม่,รับแจ้ง,บาดเจ็บ,10,15,11,14,5,2,6,3,4,7,,
ภาคเหนือ,เชียงใหม่,รับแจ้ง,ไม่บาดเจ็บ,29,19,16,26,26,17,21,15,20,5,,
ภาคเหนือ,เชียงใหม่,รับแจ้ง,ปล้นทรัพย์,29,23,15,21,9,6,8,4,2,3,,
ภาคเหนือ,เชียงใหม่,รับแจ้ง,รับของโจร,8,10,11,4,19,20,14,6,11,8,,
ภาคเหนือ,เชียงใหม่,รับแจ้ง,ทำให้เสียทรัพย์,223,113,123,116,102,63,85,78,89,78,,
ภาคเหนือ,เชียงใหม่,จับกุม,รวม,"1,303","1,393",884,824,527,319,511,535,589,690,,
ภาคเหนือ,เชียงใหม่,จับกุม,ลักทรัพย์,"1,013","1,179",725,652,454,271,431,459,484,590,,
ภาคเหนือ,เชียงใหม่,จับกุม,วิ่งราวทรัพย์,46,80,47,51,14,20,28,27,42,32,,
ภาคเหนือ,เชียงใหม่,จับกุม,รีดเอาทรัพย์,0,0,0,1,0,0,0,1,1,1,,
ภาคเหนือ,เชียงใหม่,จับกุม,กรรโชกทรัพย์,3,8,6,8,6,1,0,1,2,2,,
ภาคเหนือ,เชียงใหม่,จับกุม,ชิงทรัพย์ (รวม),27,24,20,22,16,8,15,10,17,9,,
ภาคเหนือ,เชียงใหม่,จับกุม,บาดเจ็บ,9,14,5,8,3,1,3,2,3,6,,
ภาคเหนือ,เชียงใหม่,จับกุม,ไม่บาดเจ็บ,18,10,15,14,13,7,12,8,14,3,,
ภาคเหนือ,เชียงใหม่,จับกุม,ปล้นทรัพย์,22,17,12,18,4,5,7,2,1,3,,
ภาคเหนือ,เชียงใหม่,จับกุม,รับของโจร,7,7,5,4,8,6,4,4,4,5,,
ภาคเหนือ,เชียงใหม่,จับกุม,ทำให้เสียทรัพย์,185,78,69,68,25,8,26,31,38,48,,
ภาคเหนือ,ลำพูน,รับแจ้ง,รวม,442,441,350,388,401,374,301,229,280,190,,
ภาคเหนือ,ลำพูน,รับแจ้ง,ลักทรัพย์,396,402,292,334,356,298,258,197,245,163,,
ภาคเหนือ,ลำพูน,รับแจ้ง,วิ่งราวทรัพย์,3,14,13,9,7,5,12,7,9,3,,
ภาคเหนือ,ลำพูน,รับแจ้ง,รีดเอาทรัพย์,0,0,1,1,0,1,0,0,0,0,,
ภาคเหนือ,ลำพูน,รับแจ้ง,กรรโชกทรัพย์,3,2,1,0,1,0,1,0,1,3,,
ภาคเหนือ,ลำพูน,รับแจ้ง,ชิงทรัพย์ (รวม),11,2,11,3,3,4,3,5,4,3,,
ภาคเหนือ,ลำพูน,รับแจ้ง,บาดเจ็บ,3,1,4,3,2,1,0,0,2,2,,
ภาคเหนือ,ลำพูน,รับแจ้ง,ไม่บาดเจ็บ,8,1,7,0,1,3,3,5,2,1,,
ภาคเหนือ,ลำพูน,รับแจ้ง,ปล้นทรัพย์,0,0,1,0,1,2,2,0,0,1,,
ภาคเหนือ,ลำพูน,รับแจ้ง,รับของโจร,4,5,2,0,3,1,5,0,2,1,,
ภาคเหนือ,ลำพูน,รับแจ้ง,ทำให้เสียทรัพย์,25,16,29,41,30,63,20,20,19,16,,
ภาคเหนือ,ลำพูน,จับกุม,รวม,255,305,224,246,166,182,99,110,127,99,,
ภาคเหนือ,ลำพูน,จับกุม,ลักทรัพย์,219,272,176,199,140,129,81,94,109,79,,
ภาคเหนือ,ลำพูน,จับกุม,วิ่งราวทรัพย์,3,13,12,5,6,2,4,1,5,2,,
ภาคเหนือ,ลำพูน,จับกุม,รีดเอาทรัพย์,0,0,0,1,0,0,0,0,0,0,,
ภาคเหนือ,ลำพูน,จับกุม,กรรโชกทรัพย์,3,2,1,0,1,0,0,0,1,2,,
ภาคเหนือ,ลำพูน,จับกุม,ชิงทรัพย์ (รวม),8,0,10,2,3,3,1,3,2,2,,
ภาคเหนือ,ลำพูน,จับกุม,บาดเจ็บ,2,0,4,2,2,1,0,0,1,1,,
ภาคเหนือ,ลำพูน,จับกุม,ไม่บาดเจ็บ,6,0,6,0,1,2,1,3,1,1,,
ภาคเหนือ,ลำพูน,จับกุม,ปล้นทรัพย์,0,0,1,0,1,2,2,0,0,1,,
ภาคเหนือ,ลำพูน,จับกุม,รับของโจร,2,4,2,0,1,1,0,0,0,0,,
ภาคเหนือ,ลำพูน,จับกุม,ทำให้เสียทรัพย์,20,14,22,39,14,45,11,12,10,13,,
ภาคเหนือ,ลำปาง,รับแจ้ง,รวม,301,266,235,298,294,329,361,271,458,232,,
ภาคเหนือ,ลำปาง,รับแจ้ง,ลักทรัพย์,261,218,187,256,258,288,307,239,384,195,,
ภาคเหนือ,ลำปาง,รับแจ้ง,วิ่งราวทรัพย์,9,7,7,8,6,7,24,10,26,7,,
ภาคเหนือ,ลำปาง,รับแจ้ง,รีดเอาทรัพย์,0,0,0,0,0,0,0,0,1,1,,
ภาคเหนือ,ลำปาง,รับแจ้ง,กรรโชกทรัพย์,0,0,0,2,0,1,0,1,10,1,,
ภาคเหนือ,ลำปาง,รับแจ้ง,ชิงทรัพย์ (รวม),4,8,4,0,8,3,7,2,7,2,,
ภาคเหนือ,ลำปาง,รับแจ้ง,บาดเจ็บ,2,5,3,0,2,1,4,1,0,0,,
ภาคเหนือ,ลำปาง,รับแจ้ง,ไม่บาดเจ็บ,2,3,1,0,6,2,3,1,7,2,,
