ภาค,จังหวัด,ประเภทคดีอาชญากรรม,ประเภทความผิด,2550,2551,2552,2553,2554,2555,2556,2557,2558,2559
ภาคกลาง,สมุทรปราการ,จับกุม,ข่มขืนกระทำชำเรา,65,30,46,57,15,26,46,21,22,46
ภาคกลาง,นนทบุรี,รับแจ้ง,รวม,597,514,473,421,242,354,329,274,362,296
ภาคกลาง,นนทบุรี,รับแจ้ง,ฆ่าผู้อื่นโดยเจตนา,44,60,51,56,37,45,29,26,25,19
ภาคกลาง,นนทบุรี,รับแจ้ง,ฆ่าผู้อื่นโดยไม่เจตนา,4,4,2,5,9,12,28,15,12,10
ภาคกลาง,นนทบุรี,รับแจ้ง,ทำให้ตายโดยประมาท,2,4,1,1,2,0,2,2,3,1
ภาคกลาง,นนทบุรี,รับแจ้ง,พยายามฆ่า,90,71,77,79,41,49,64,36,68,47
ภาคกลาง,นนทบุรี,รับแจ้ง,ทำร้ายร่างกาย,377,305,270,204,124,206,168,150,216,200
ภาคกลาง,นนทบุรี,รับแจ้ง,ข่มขืนกระทำชำเรา,80,70,72,76,29,42,38,45,38,19
ภาคกลาง,นนทบุรี,จับกุม,รวม,250,201,221,191,84,180,214,156,155,151
ภาคกลาง,นนทบุรี,จับกุม,ฆ่าผู้อื่นโดยเจตนา,20,28,24,21,14,24,27,15,19,10
ภาคกลาง,นนทบุรี,จับกุม,ฆ่าผู้อื่นโดยไม่เจตนา,4,1,2,4,3,4,21,10,6,6
ภาคกลาง,นนทบุรี,จับกุม,ทำให้ตายโดยประมาท,1,4,1,1,1,0,2,1,2,1
ภาคกลาง,นนทบุรี,จับกุม,พยายามฆ่า,43,26,30,30,12,20,44,22,26,23
ภาคกลาง,นนทบุรี,จับกุม,ทำร้ายร่างกาย,158,119,133,101,46,117,101,86,91,100
ภาคกลาง,นนทบุรี,จับกุม,ข่มขืนกระทำชำเรา,24,23,31,34,8,15,19,22,11,11
ภาคกลาง,ปทุมธานี,รับแจ้ง,รวม,840,710,638,585,479,639,508,481,473,395
ภาคกลาง,ปทุมธานี,รับแจ้ง,ฆ่าผู้อื่นโดยเจตนา,58,69,54,49,43,47,42,38,36,44
ภาคกลาง,ปทุมธานี,รับแจ้ง,ฆ่าผู้อื่นโดยไม่เจตนา,8,3,7,6,14,13,12,20,13,8
ภาคกลาง,ปทุมธานี,รับแจ้ง,ทำให้ตายโดยประมาท,2,2,0,2,3,5,6,4,5,7
ภาคกลาง,ปทุมธานี,รับแจ้ง,พยายามฆ่า,95,92,98,74,79,96,73,63,88,47
ภาคกลาง,ปทุมธานี,รับแจ้ง,ทำร้ายร่างกาย,560,427,357,349,265,382,305,287,293,240
ภาคกลาง,ปทุมธานี,รับแจ้ง,ข่มขืนกระทำชำเรา,117,117,122,105,75,96,70,69,38,49
ภาคกลาง,ปทุมธานี,จับกุม,รวม,397,356,372,300,227,307,372,256,288,283
ภาคกลาง,ปทุมธานี,จับกุม,ฆ่าผู้อื่นโดยเจตนา,29,39,38,24,31,28,35,29,27,40
ภาคกลาง,ปทุมธานี,จับกุม,ฆ่าผู้อื่นโดยไม่เจตนา,3,1,7,3,8,10,9,15,7,6
ภาคกลาง,ปทุมธานี,จับกุม,ทำให้ตายโดยประมาท,1,0,0,2,0,4,5,3,2,6
