ภาค,จังหวัด,ประเภทคดีอาชญากรรม,ประเภทความผิด,2550,2551,2552,2553,2554,2555,2556,2557,2558,2559,
ภาคกลาง,สระแก้ว,จับกุม,ปล้นทรัพย์,2,2,1,2,0,0,1,0,1,0,
ภาคกลาง,สระแก้ว,จับกุม,ชิงทรัพย์ (รวม),5,3,3,4,2,2,6,4,1,2,
ภาคกลาง,สระแก้ว,จับกุม,ลักพาเรียกค่าไถ่,0,0,0,0,0,0,0,0,0,0,
ภาคกลาง,สระแก้ว,จับกุม,วางเพลิง,2,2,1,1,3,2,2,0,2,4,
ภาคกลาง,ราชบุรี,รับแจ้ง,รวม,117,85,101,126,72,90,60,54,44,53,
ภาคกลาง,ราชบุรี,รับแจ้ง,ฆ่าผู้อื่นโดยเจตนา,63,36,55,68,57,64,47,36,36,37,
ภาคกลาง,ราชบุรี,รับแจ้ง,ปล้นทรัพย์,11,13,8,10,2,4,0,0,1,0,
ภาคกลาง,ราชบุรี,รับแจ้ง,ชิงทรัพย์ (รวม),40,34,35,48,12,22,10,14,6,13,
ภาคกลาง,ราชบุรี,รับแจ้ง,ลักพาเรียกค่าไถ่,0,0,0,0,0,0,1,1,0,0,
ภาคกลาง,ราชบุรี,รับแจ้ง,วางเพลิง,3,2,3,0,1,0,2,3,1,3,
ภาคกลาง,ราชบุรี,จับกุม,รวม,67,51,67,87,53,66,48,45,41,47,
ภาคกลาง,ราชบุรี,จับกุม,ฆ่าผู้อื่นโดยเจตนา,36,20,29,38,40,43,36,28,34,33,
ภาคกลาง,ราชบุรี,จับกุม,ปล้นทรัพย์,7,8,8,9,2,4,0,0,1,0,
ภาคกลาง,ราชบุรี,จับกุม,ชิงทรัพย์ (รวม),23,21,28,40,11,19,9,13,5,12,
ภาคกลาง,ราชบุรี,จับกุม,ลักพาเรียกค่าไถ่,0,0,0,0,0,0,1,1,0,0,
ภาคกลาง,ราชบุรี,จับกุม,วางเพลิง,1,2,2,0,0,0,2,3,1,2,
ภาคกลาง,กาญจนบุรี,รับแจ้ง,รวม,96,69,75,67,62,61,57,64,46,41,
ภาคกลาง,กาญจนบุรี,รับแจ้ง,ฆ่าผู้อื่นโดยเจตนา,59,46,53,48,46,44,43,44,27,27,
ภาคกลาง,กาญจนบุรี,รับแจ้ง,ปล้นทรัพย์,6,3,3,4,2,7,1,2,2,3,
ภาคกลาง,กาญจนบุรี,รับแจ้ง,ชิงทรัพย์ (รวม),29,16,17,14,9,7,12,13,16,9,
ภาคกลาง,กาญจนบุรี,รับแจ้ง,ลักพาเรียกค่าไถ่,0,1,0,0,1,0,0,0,0,0,
ภาคกลาง,กาญจนบุรี,รับแจ้ง,วางเพลิง,2,3,2,1,4,3,1,5,1,2,
ภาคกลาง,กาญจนบุรี,จับกุม,รวม,46,39,56,36,43,37,50,54,32,31,
ภาคกลาง,กาญจนบุรี,จับกุม,ฆ่าผู้อื่นโดยเจตนา,31,22,36,24,30,26,36,35,19,20,
ภาคกลาง,กาญจนบุรี,จับกุม,ปล้นทรัพย์,2,3,2,2,2,6,1,2,1,3,
ภาคกลาง,กาญจนบุรี,จับกุม,ชิงทรัพย์ (รวม),11,11,16,9,7,2,12,12,12,7,
ภาคกลาง,กาญจนบุรี,จับกุม,ลักพาเรียกค่าไถ่,0,1,0,0,1,0,0,0,0,0,
ภาคกลาง,กาญจนบุรี,จับกุม,วางเพลิง,2,2,2,1,3,3,1,5,0,1,
ภาคกลาง,สุพรรณบุรี,รับแจ้ง,รวม,85,87,85,88,56,56,48,48,56,32,
ภาคกลาง,สุพรรณบุรี,รับแจ้ง,ฆ่าผู้อื่นโดยเจตนา,50,68,41,51,35,38,27,21,29,15,
ภาคกลาง,สุพรรณบุรี,รับแจ้ง,ปล้นทรัพย์,6,2,14,10,3,4,6,8,5,1,
ภาคกลาง,สุพรรณบุรี,รับแจ้ง,ชิงทรัพย์ (รวม),21,16,29,20,13,13,14,17,19,12,
ภาคกลาง,สุพรรณบุรี,รับแจ้ง,ลักพาเรียกค่าไถ่,0,0,0,0,0,0,0,0,0,0,
ภาคกลาง,สุพรรณบุรี,รับแจ้ง,วางเพลิง,8,1,1,7,5,1,1,2,3,4,
ภาคกลาง,สุพรรณบุรี,จับกุม,รวม,38,53,59,53,35,33,36,46,52,28,
ภาคกลาง,สุพรรณบุรี,จับกุม,ฆ่าผู้อื่นโดยเจตนา,22,39,27,23,22,20,21,20,26,13,
ภาคกลาง,สุพรรณบุรี,จับกุม,ปล้นทรัพย์,4,2,8,10,2,2,5,7,5,1,
ภาคกลาง,สุพรรณบุรี,จับกุม,ชิงทรัพย์ (รวม),4,11,23,14,8,10,9,17,18,10,
ภาคกลาง,สุพรรณบุรี,จับกุม,ลักพาเรียกค่าไถ่,0,0,0,0,0,0,0,0,0,0,
ภาคกลาง,สุพรรณบุรี,จับกุม,วางเพลิง,8,1,1,6,3,1,1,2,3,4,
ภาคกลาง,นครปฐม,รับแจ้ง,รวม,140,95,84,88,65,86,71,76,87,67,
ภาคกลาง,นครปฐม,รับแจ้ง,ฆ่าผู้อื่นโดยเจตนา,70,59,45,52,32,53,38,42,32,22,
ภาคกลาง,นครปฐม,รับแจ้ง,ปล้นทรัพย์,17,9,7,9,10,4,6,9,9,11,
ภาคกลาง,นครปฐม,รับแจ้ง,ชิงทรัพย์ (รวม),51,25,29,24,21,28,27,25,41,34,
ภาคกลาง,นครปฐม,รับแจ้ง,ลักพาเรียกค่าไถ่,0,1,0,0,0,0,0,0,0,0,
ภาคกลาง,นครปฐม,รับแจ้ง,วางเพลิง,2,1,3,3,2,1,0,0,5,1,
ภาคกลาง,นครปฐม,จับกุม,รวม,68,63,57,60,47,68,60,62,73,57,
ภาคกลาง,นครปฐม,จับกุม,ฆ่าผู้อื่นโดยเจตนา,31,35,25,32,19,37,30,35,27,18,
ภาคกลาง,นครปฐม,จับกุม,ปล้นทรัพย์,11,6,4,5,9,4,6,8,9,10,
ภาคกลาง,นครปฐม,จับกุม,ชิงทรัพย์ (รวม),26,20,25,20,18,26,24,19,35,29,
ภาคกลาง,นครปฐม,จับกุม,ลักพาเรียกค่าไถ่,0,1,0,0,0,0,0,0,0,0,
ภาคกลาง,นครปฐม,จับกุม,วางเพลิง,0,1,3,3,1,1,0,0,2,1,
ภาคกลาง,สมุทรสาคร,รับแจ้ง,รวม,107,71,61,62,51,44,43,56,36,41,
ภาคกลาง,สมุทรสาคร,รับแจ้ง,ฆ่าผู้อื่นโดยเจตนา,43,36,34,30,28,28,15,24,20,22,
ภาคกลาง,สมุทรสาคร,รับแจ้ง,ปล้นทรัพย์,21,8,8,11,1,11,7,13,7,6,
ภาคกลาง,สมุทรสาคร,รับแจ้ง,ชิงทรัพย์ (รวม),42,25,19,21,22,5,21,17,9,13,
ภาคกลาง,สมุทรสาคร,รับแจ้ง,ลักพาเรียกค่าไถ่,0,2,0,0,0,0,0,1,0,0,
ภาคกลาง,สมุทรสาคร,รับแจ้ง,วางเพลิง,1,0,0,0,0,0,0,1,0,0,
ภาคกลาง,สมุทรสาคร,จับกุม,รวม,65,49,33,45,38,32,38,50,32,37,
ภาคกลาง,สมุทรสาคร,จับกุม,ฆ่าผู้อื่นโดยเจตนา,22,19,11,18,16,16,14,21,18,20,
ภาคกลาง,สมุทรสาคร,จับกุม,ปล้นทรัพย์,13,8,8,9,1,11,6,11,6,5,
ภาคกลาง,สมุทรสาคร,จับกุม,ชิงทรัพย์ (รวม),30,20,14,18,21,5,18,17,8,12,
ภาคกลาง,สมุทรสาคร,จับกุม,ลักพาเรียกค่าไถ่,0,2,0,0,0,0,0,1,0,0,
ภาคกลาง,สมุทรสาคร,จับกุม,วางเพลิง,0,0,0,0,0,0,0,0,0,0,
ภาคกลาง,สมุทรสงคราม,รับแจ้ง,รวม,21,14,25,16,12,22,14,26,7,12,
ภาคกลาง,สมุทรสงคราม,รับแจ้ง,ฆ่าผู้อื่นโดยเจตนา,13,8,15,12,5,16,11,14,7,4,
ภาคกลาง,สมุทรสงคราม,รับแจ้ง,ปล้นทรัพย์,4,0,2,0,3,1,1,0,0,0,
ภาคกลาง,สมุทรสงคราม,รับแจ้ง,ชิงทรัพย์ (รวม),4,6,7,3,3,5,2,12,0,6,
ภาคกลาง,สมุทรสงคราม,รับแจ้ง,ลักพาเรียกค่าไถ่,0,0,0,0,0,0,0,0,0,0,
ภาคกลาง,สมุทรสงคราม,รับแจ้ง,วางเพลิง,0,0,1,1,1,0,0,0,0,2,
ภาคกลาง,สมุทรสงคราม,จับกุม,รวม,12,7,12,10,8,13,5,20,4,5,
ภาคกลาง,สมุทรสงคราม,จับกุม,ฆ่าผู้อื่นโดยเจตนา,8,3,5,8,1,9,5,9,4,2,
ภาคกลาง,สมุทรสงคราม,จับกุม,ปล้นทรัพย์,3,0,1,0,3,1,0,0,0,0,
ภาคกลาง,สมุทรสงคราม,จับกุม,ชิงทรัพย์ (รวม),1,4,5,1,3,3,0,11,0,2,
ภาคกลาง,สมุทรสงคราม,จับกุม,ลักพาเรียกค่าไถ่,0,0,0,0,0,0,0,0,0,0,
ภาคกลาง,สมุทรสงคราม,จับกุม,วางเพลิง,0,0,1,1,1,0,0,0,0,1,
ภาคกลาง,เพชรบุรี,รับแจ้ง,รวม,57,53,35,58,41,43,33,25,25,30,
ภาคกลาง,เพชรบุรี,รับแจ้ง,ฆ่าผู้อื่นโดยเจตนา,38,47,21,41,30,30,20,17,22,20,
ภาคกลาง,เพชรบุรี,รับแจ้ง,ปล้นทรัพย์,2,1,1,4,5,4,3,1,0,0,
ภาคกลาง,เพชรบุรี,รับแจ้ง,ชิงทรัพย์ (รวม),15,3,12,12,4,8,10,6,3,7,
ภาคกลาง,เพชรบุรี,รับแจ้ง,ลักพาเรียกค่าไถ่,2,0,0,0,0,0,0,0,0,0,
ภาคกลาง,เพชรบุรี,รับแจ้ง,วางเพลิง,0,2,1,1,2,1,0,1,0,3,
ภาคกลาง,เพชรบุรี,จับกุม,รวม,28,30,16,34,28,33,31,23,19,22,
ภาคกลาง,เพชรบุรี,จับกุม,ฆ่าผู้อื่นโดยเจตนา,15,26,6,20,19,22,18,15,17,17,
ภาคกลาง,เพชรบุรี,จับกุม,ปล้นทรัพย์,2,1,1,3,5,3,3,1,0,0,
ภาคกลาง,เพชรบุรี,จับกุม,ชิงทรัพย์ (รวม),10,1,8,11,3,8,10,6,2,4,
ภาคกลาง,เพชรบุรี,จับกุม,ลักพาเรียกค่าไถ่,1,0,0,0,0,0,0,0,0,0,
ภาคกลาง,เพชรบุรี,จับกุม,วางเพลิง,0,2,1,0,1,0,0,1,0,1,
ภาคกลาง,ประจวบคีรีขันธ์,รับแจ้ง,รวม,78,60,46,62,60,42,43,45,33,33,
ภาคกลาง,ประจวบคีรีขันธ์,รับแจ้ง,ฆ่าผู้อื่นโดยเจตนา,57,55,37,50,49,38,39,35,22,22,
ภาคกลาง,ประจวบคีรีขันธ์,รับแจ้ง,ปล้นทรัพย์,5,2,2,1,1,1,0,1,2,1,
ภาคกลาง,ประจวบคีรีขันธ์,รับแจ้ง,ชิงทรัพย์ (รวม),16,2,7,9,7,2,3,7,6,6,
ภาคกลาง,ประจวบคีรีขันธ์,รับแจ้ง,ลักพาเรียกค่าไถ่,0,0,0,0,0,0,0,0,0,0,
ภาคกลาง,ประจวบคีรีขันธ์,รับแจ้ง,วางเพลิง,0,1,0,2,3,1,1,2,3,4,
ภาคกลาง,ประจวบคีรีขันธ์,จับกุม,รวม,35,32,23,45,36,29,36,36,28,27,
ภาคกลาง,ประจวบคีรีขันธ์,จับกุม,ฆ่าผู้อื่นโดยเจตนา,21,29,17,37,27,26,32,27,20,18,
ภาคกลาง,ประจวบคีรีขันธ์,จับกุม,ปล้นทรัพย์,1,2,1,1,0,1,0,1,2,1,
ภาคกลาง,ประจวบคีรีขันธ์,จับกุม,ชิงทรัพย์ (รวม),13,1,5,6,6,1,3,6,5,5,
ภาคกลาง,ประจวบคีรีขันธ์,จับกุม,ลักพาเรียกค่าไถ่,0,0,0,0,0,0,0,0,0,0,
ภาคกลาง,ประจวบคีรีขันธ์,จับกุม,วางเพลิง,0,0,0,1,3,1,1,2,1,3,
ภาคเหนือ,เชียงใหม่,รับแจ้ง,รวม,179,145,119,156,109,94,93,103,85,76,
ภาคเหนือ,เชียงใหม่,รับแจ้ง,ฆ่าผู้อื่นโดยเจตนา,102,80,69,80,63,64,47,74,48,50,
ภาคเหนือ,เชียงใหม่,รับแจ้ง,ปล้นทรัพย์,29,23,15,21,9,6,8,4,2,3,
ภาคเหนือ,เชียงใหม่,รับแจ้ง,ชิงทรัพย์ (รวม),39,34,27,40,31,19,27,18,24,12,
ภาคเหนือ,เชียงใหม่,รับแจ้ง,ลักพาเรียกค่าไถ่,1,0,0,0,0,0,0,1,2,0,
ภาคเหนือ,เชียงใหม่,รับแจ้ง,วางเพลิง,8,8,8,15,6,5,11,6,9,11,
ภาคเหนือ,เชียงใหม่,จับกุม,รวม,113,95,84,86,46,51,49,55,61,62,
ภาคเหนือ,เชียงใหม่,จับกุม,ฆ่าผู้อื่นโดยเจตนา,57,48,45,39,24,37,20,39,35,41,
ภาคเหนือ,เชียงใหม่,จับกุม,ปล้นทรัพย์,22,17,12,18,4,5,7,2,1,3,
ภาคเหนือ,เชียงใหม่,จับกุม,ชิงทรัพย์ (รวม),27,24,20,22,16,8,15,10,17,9,
ภาคเหนือ,เชียงใหม่,จับกุม,ลักพาเรียกค่าไถ่,1,0,0,0,0,0,0,1,2,0,
ภาคเหนือ,เชียงใหม่,จับกุม,วางเพลิง,6,6,7,7,2,1,7,3,6,9,
ภาคเหนือ,ลำพูน,รับแจ้ง,รวม,19,19,27,23,16,13,15,18,18,12,
ภาคเหนือ,ลำพูน,รับแจ้ง,ฆ่าผู้อื่นโดยเจตนา,8,14,15,16,10,5,10,13,10,6,
ภาคเหนือ,ลำพูน,รับแจ้ง,ปล้นทรัพย์,0,0,1,0,1,2,2,0,0,1,
ภาคเหนือ,ลำพูน,รับแจ้ง,ชิงทรัพย์ (รวม),11,2,11,3,3,4,3,5,4,3,
ภาคเหนือ,ลำพูน,รับแจ้ง,ลักพาเรียกค่าไถ่,0,0,0,0,0,0,0,0,0,0,
ภาคเหนือ,ลำพูน,รับแจ้ง,วางเพลิง,0,3,0,4,2,2,0,0,4,2,
ภาคเหนือ,ลำพูน,จับกุม,รวม,13,11,22,15,11,8,10,12,10,11,
ภาคเหนือ,ลำพูน,จับกุม,ฆ่าผู้อื่นโดยเจตนา,5,9,11,10,6,2,7,9,6,6,
ภาคเหนือ,ลำพูน,จับกุม,ปล้นทรัพย์,0,0,1,0,1,2,2,0,0,1,
ภาคเหนือ,ลำพูน,จับกุม,ชิงทรัพย์ (รวม),8,0,10,2,3,3,1,3,2,2,
ภาคเหนือ,ลำพูน,จับกุม,ลักพาเรียกค่าไถ่,0,0,0,0,0,0,0,0,0,0,
ภาคเหนือ,ลำพูน,จับกุม,วางเพลิง,0,2,0,3,1,1,0,0,2,2,
ภาคเหนือ,ลำปาง,รับแจ้ง,รวม,39,41,27,29,34,32,38,28,23,18,
ภาคเหนือ,ลำปาง,รับแจ้ง,ฆ่าผู้อื่นโดยเจตนา,31,28,19,26,19,25,28,23,11,11,
ภาคเหนือ,ลำปาง,รับแจ้ง,ปล้นทรัพย์,4,2,0,2,3,2,1,1,1,0,
ภาคเหนือ,ลำปาง,รับแจ้ง,ชิงทรัพย์ (รวม),4,8,4,0,8,3,7,2,7,2,
ภาคเหนือ,ลำปาง,รับแจ้ง,ลักพาเรียกค่าไถ่,0,0,0,0,1,0,0,0,0,0,
ภาคเหนือ,ลำปาง,รับแจ้ง,วางเพลิง,0,3,4,1,3,2,2,2,4,5,
ภาคเหนือ,ลำปาง,จับกุม,รวม,33,30,16,21,24,20,22,18,19,13,
ภาคเหนือ,ลำปาง,จับกุม,ฆ่าผู้อื่นโดยเจตนา,27,19,12,18,13,15,16,16,10,9,
ภาคเหนือ,ลำปาง,จับกุม,ปล้นทรัพย์,3,2,0,2,1,1,1,0,0,0,
ภาคเหนือ,ลำปาง,จับกุม,ชิงทรัพย์ (รวม),3,7,1,0,7,3,3,1,7,1,
ภาคเหนือ,ลำปาง,จับกุม,ลักพาเรียกค่าไถ่,0,0,0,0,1,0,0,0,0,0,
ภาคเหนือ,ลำปาง,จับกุม,วางเพลิง,0,2,3,1,2,1,2,1,2,3,
ภาคเหนือ,อุตรดิตถ์,รับแจ้ง,รวม,36,38,21,18,17,25,18,16,16,17,
ภาคเหนือ,อุตรดิตถ์,รับแจ้ง,ฆ่าผู้อื่นโดยเจตนา,26,27,18,11,10,20,15,10,9,12,
ภาคเหนือ,อุตรดิตถ์,รับแจ้ง,ปล้นทรัพย์,1,3,0,2,1,0,0,0,0,1,
ภาคเหนือ,อุตรดิตถ์,รับแจ้ง,ชิงทรัพย์ (รวม),8,7,2,4,3,4,2,6,5,3,
ภาคเหนือ,อุตรดิตถ์,รับแจ้ง,ลักพาเรียกค่าไถ่,0,0,0,0,0,0,0,0,0,0,
ภาคเหนือ,อุตรดิตถ์,รับแจ้ง,วางเพลิง,1,1,1,1,3,1,1,0,2,1,
ภาคเหนือ,อุตรดิตถ์,จับกุม,รวม,25,24,15,15,15,18,15,14,15,17,
ภาคเหนือ,อุตรดิตถ์,จับกุม,ฆ่าผู้อื่นโดยเจตนา,21,18,12,9,9,13,13,8,8,12,
ภาคเหนือ,อุตรดิตถ์,จับกุม,ปล้นทรัพย์,1,2,0,2,1,0,0,0,0,1,
ภาคเหนือ,อุตรดิตถ์,จับกุม,ชิงทรัพย์ (รวม),2,4,2,3,3,4,1,6,5,3,
ภาคเหนือ,อุตรดิตถ์,จับกุม,ลักพาเรียกค่าไถ่,0,0,0,0,0,0,0,0,0,0,
ภาคเหนือ,อุตรดิตถ์,จับกุม,วางเพลิง,1,0,1,1,2,1,1,0,2,1,
ภาคเหนือ,แพร่,รับแจ้ง,รวม,24,26,25,19,20,17,12,14,6,11,
ภาคเหนือ,แพร่,รับแจ้ง,ฆ่าผู้อื่นโดยเจตนา,18,16,17,18,16,14,8,10,1,8,
ภาคเหนือ,แพร่,รับแจ้ง,ปล้นทรัพย์,0,0,0,1,0,0,0,0,1,0,
ภาคเหนือ,แพร่,รับแจ้ง,ชิงทรัพย์ (รวม),1,9,6,0,2,1,2,2,1,2,
ภาคเหนือ,แพร่,รับแจ้ง,ลักพาเรียกค่าไถ่,0,0,0,0,0,0,0,0,0,0,
ภาคเหนือ,แพร่,รับแจ้ง,วางเพลิง,5,1,2,0,2,2,2,2,3,1,
ภาคเหนือ,แพร่,จับกุม,รวม,16,22,22,14,11,15,8,8,5,8,
ภาคเหนือ,แพร่,จับกุม,ฆ่าผู้อื่นโดยเจตนา,11,12,16,14,10,12,5,4,1,7,
ภาคเหนือ,แพร่,จับกุม,ปล้นทรัพย์,0,0,0,0,0,0,0,0,1,0,
ภาคเหนือ,แพร่,จับกุม,ชิงทรัพย์ (รวม),1,9,4,0,0,1,1,2,1,1,
ภาคเหนือ,แพร่,จับกุม,ลักพาเรียกค่าไถ่,0,0,0,0,0,0,0,0,0,0,
ภาคเหนือ,แพร่,จับกุม,วางเพลิง,4,1,2,0,1,2,2,2,2,0,
ภาคเหนือ,น่าน,รับแจ้ง,รวม,24,15,22,19,17,7,14,12,16,18,
ภาคเหนือ,น่าน,รับแจ้ง,ฆ่าผู้อื่นโดยเจตนา,16,14,17,14,14,5,12,10,16,9,
ภาคเหนือ,น่าน,รับแจ้ง,ปล้นทรัพย์,1,0,1,0,0,1,0,0,0,0,
ภาคเหนือ,น่าน,รับแจ้ง,ชิงทรัพย์ (รวม),2,1,4,4,0,0,2,0,0,3,
ภาคเหนือ,น่าน,รับแจ้ง,ลักพาเรียกค่าไถ่,0,0,0,0,0,0,0,0,0,0,
ภาคเหนือ,น่าน,รับแจ้ง,วางเพลิง,5,0,0,1,3,1,0,2,0,6,
ภาคเหนือ,น่าน,จับกุม,รวม,14,8,15,11,6,3,9,8,12,13,
ภาคเหนือ,น่าน,จับกุม,ฆ่าผู้อื่นโดยเจตนา,10,8,10,8,6,3,8,7,12,5,
ภาคเหนือ,น่าน,จับกุม,ปล้นทรัพย์,0,0,1,0,0,0,0,0,0,0,
ภาคเหนือ,น่าน,จับกุม,ชิงทรัพย์ (รวม),1,0,4,3,0,0,1,0,0,3,
ภาคเหนือ,น่าน,จับกุม,ลักพาเรียกค่าไถ่,0,0,0,0,0,0,0,0,0,0,
ภาคเหนือ,น่าน,จับกุม,วางเพลิง,3,0,0,0,0,0,0,1,0,5,
ภาคเหนือ,พะเยา,รับแจ้ง,รวม,18,21,13,18,13,14,20,16,16,14,
ภาคเหนือ,พะเยา,รับแจ้ง,ฆ่าผู้อื่นโดยเจตนา,13,16,12,11,10,10,15,10,9,7,
ภาคเหนือ,พะเยา,รับแจ้ง,ปล้นทรัพย์,0,0,1,1,0,0,0,1,0,0,
ภาคเหนือ,พะเยา,รับแจ้ง,ชิงทรัพย์ (รวม),2,4,0,5,0,3,1,1,3,5,
ภาคเหนือ,พะเยา,รับแจ้ง,ลักพาเรียกค่าไถ่,0,0,0,0,0,0,0,0,0,0,
ภาคเหนือ,พะเยา,รับแจ้ง,วางเพลิง,3,1,0,1,3,1,4,4,4,2,
ภาคเหนือ,พะเยา,จับกุม,รวม,11,16,10,11,11,13,16,10,10,12,
ภาคเหนือ,พะเยา,จับกุม,ฆ่าผู้อื่นโดยเจตนา,7,12,9,7,9,10,13,6,5,6,
ภาคเหนือ,พะเยา,จับกุม,ปล้นทรัพย์,0,0,1,1,0,0,0,1,0,0,
ภาคเหนือ,พะเยา,จับกุม,ชิงทรัพย์ (รวม),1,3,0,3,0,2,1,1,1,4,
ภาคเหนือ,พะเยา,จับกุม,ลักพาเรียกค่าไถ่,0,0,0,0,0,0,0,0,0,0,
ภาคเหนือ,พะเยา,จับกุม,วางเพลิง,3,1,0,0,2,1,2,2,4,2,
ภาคเหนือ,เชียงราย,รับแจ้ง,รวม,63,65,66,62,71,58,51,57,40,51,
ภาคเหนือ,เชียงราย,รับแจ้ง,ฆ่าผู้อื่นโดยเจตนา,41,55,51,48,60,48,44,49,33,42,
ภาคเหนือ,เชียงราย,รับแจ้ง,ปล้นทรัพย์,3,3,1,0,2,1,1,1,0,0,
ภาคเหนือ,เชียงราย,รับแจ้ง,ชิงทรัพย์ (รวม),7,4,11,6,7,6,5,5,2,2,
ภาคเหนือ,เชียงราย,รับแจ้ง,ลักพาเรียกค่าไถ่,0,0,0,0,0,0,0,1,0,0,
ภาคเหนือ,เชียงราย,รับแจ้ง,วางเพลิง,12,3,3,8,2,3,1,1,5,7,
ภาคเหนือ,เชียงราย,จับกุม,รวม,40,38,34,33,37,31,28,28,27,32,
ภาคเหนือ,เชียงราย,จับกุม,ฆ่าผู้อื่นโดยเจตนา,26,31,22,24,29,27,23,22,22,26,
ภาคเหนือ,เชียงราย,จับกุม,ปล้นทรัพย์,3,2,1,0,0,1,1,1,0,0,
ภาคเหนือ,เชียงราย,จับกุม,ชิงทรัพย์ (รวม),2,3,8,4,6,2,3,3,0,1,
ภาคเหนือ,เชียงราย,จับกุม,ลักพาเรียกค่าไถ่,0,0,0,0,0,0,0,1,0,0,
ภาคเหนือ,เชียงราย,จับกุม,วางเพลิง,9,2,3,5,2,1,1,1,5,5,
ภาคเหนือ,แม่ฮ่องสอน,รับแจ้ง,รวม,13,13,9,7,13,6,9,5,6,9,
ภาคเหนือ,แม่ฮ่องสอน,รับแจ้ง,ฆ่าผู้อื่นโดยเจตนา,11,12,7,6,13,6,9,5,5,8,
ภาคเหนือ,แม่ฮ่องสอน,รับแจ้ง,ปล้นทรัพย์,0,0,0,0,0,0,0,0,0,0,
ภาคเหนือ,แม่ฮ่องสอน,รับแจ้ง,ชิงทรัพย์ (รวม),2,1,2,0,0,0,0,0,0,0,
ภาคเหนือ,แม่ฮ่องสอน,รับแจ้ง,ลักพาเรียกค่าไถ่,0,0,0,0,0,0,0,0,0,0,
ภาคเหนือ,แม่ฮ่องสอน,รับแจ้ง,วางเพลิง,0,0,0,1,0,0,0,0,1,1,
ภาคเหนือ,แม่ฮ่องสอน,จับกุม,รวม,7,9,7,5,6,1,2,0,4,5,
ภาคเหนือ,แม่ฮ่องสอน,จับกุม,ฆ่าผู้อื่นโดยเจตนา,5,8,5,4,6,1,2,0,4,5,
ภาคเหนือ,แม่ฮ่องสอน,จับกุม,ปล้นทรัพย์,0,0,0,0,0,0,0,0,0,0,
ภาคเหนือ,แม่ฮ่องสอน,จับกุม,ชิงทรัพย์ (รวม),2,1,2,0,0,0,0,0,0,0,
ภาคเหนือ,แม่ฮ่องสอน,จับกุม,ลักพาเรียกค่าไถ่,0,0,0,0,0,0,0,0,0,0,
ภาคเหนือ,แม่ฮ่องสอน,จับกุม,วางเพลิง,0,0,0,1,0,0,0,0,0,0,
ภาคเหนือ,นครสวรรค์,รับแจ้ง,รวม,98,80,68,78,82,68,68,57,40,31,
ภาคเหนือ,นครสวรรค์,รับแจ้ง,ฆ่าผู้อื่นโดยเจตนา,48,52,46,52,52,48,46,44,27,23,
ภาคเหนือ,นครสวรรค์,รับแจ้ง,ปล้นทรัพย์,21,10,8,9,10,3,0,2,3,2,
ภาคเหนือ,นครสวรรค์,รับแจ้ง,ชิงทรัพย์ (รวม),23,18,13,15,13,13,17,6,9,3,
ภาคเหนือ,นครสวรรค์,รับแจ้ง,ลักพาเรียกค่าไถ่,0,0,0,0,1,0,0,0,0,0,
ภาคเหนือ,นครสวรรค์,รับแจ้ง,วางเพลิง,6,0,1,2,6,4,5,5,1,3,
ภาคเหนือ,นครสวรรค์,จับกุม,รวม,56,45,52,50,54,46,57,48,36,30,
ภาคเหนือ,นครสวรรค์,จับกุม,ฆ่าผู้อื่นโดยเจตนา,27,27,31,30,32,29,40,37,24,22,
ภาคเหนือ,นครสวรรค์,จับกุม,ปล้นทรัพย์,16,8,8,8,8,3,0,2,3,2,
ภาคเหนือ,นครสวรรค์,จับกุม,ชิงทรัพย์ (รวม),10,10,12,10,9,11,12,4,8,3,
ภาคเหนือ,นครสวรรค์,จับกุม,ลักพาเรียกค่าไถ่,0,0,0,0,1,0,0,0,0,0,
ภาคเหนือ,นครสวรรค์,จับกุม,วางเพลิง,3,0,1,2,4,3,5,5,1,3,
ภาคเหนือ,อุทัยธานี,รับแจ้ง,รวม,23,32,23,18,17,23,22,9,15,8,
ภาคเหนือ,อุทัยธานี,รับแจ้ง,ฆ่าผู้อื่นโดยเจตนา,15,24,19,17,14,19,19,7,12,8,
ภาคเหนือ,อุทัยธานี,รับแจ้ง,ปล้นทรัพย์,2,0,1,0,0,3,1,0,0,0,
ภาคเหนือ,อุทัยธานี,รับแจ้ง,ชิงทรัพย์ (รวม),2,7,3,0,1,1,2,1,2,0,
ภาคเหนือ,อุทัยธานี,รับแจ้ง,ลักพาเรียกค่าไถ่,0,0,0,0,0,0,0,0,0,0,
ภาคเหนือ,อุทัยธานี,รับแจ้ง,วางเพลิง,4,1,0,1,2,0,0,1,1,0,
ภาคเหนือ,อุทัยธานี,จับกุม,รวม,9,16,12,13,11,10,13,8,10,7,
ภาคเหนือ,อุทัยธานี,จับกุม,ฆ่าผู้อื่นโดยเจตนา,8,9,9,12,9,8,11,6,8,7,
ภาคเหนือ,อุทัยธานี,จับกุม,ปล้นทรัพย์,0,0,1,0,0,1,0,0,0,0,
ภาคเหนือ,อุทัยธานี,จับกุม,ชิงทรัพย์ (รวม),0,6,2,0,0,1,2,1,1,0,
ภาคเหนือ,อุทัยธานี,จับกุม,ลักพาเรียกค่าไถ่,0,0,0,0,0,0,0,0,0,0,
