ภาค,จังหวัด,ระดับการศึกษา,สายการศึกษา,รวม
ภาคกลาง,นนทบุรี,ระดับมัธยมศึกษาตอนต้น,สายวิชาการศึกษาระดับมหาวิทยาลัย,240219.705
ภาคกลาง,นนทบุรี,ระดับมัธยมศึกษาตอนปลาย,สายสามัญ,171967.2675
ภาคกลาง,นนทบุรี,ระดับมัธยมศึกษาตอนปลาย,สายอาชีวศึกษา,88714.535
ภาคกลาง,นนทบุรี,ระดับมัธยมศึกษาตอนปลาย,สายวิชาการศึกษา,208.515
ภาคกลาง,นนทบุรี,ระดับอุดมศึกษา,สายวิชาการ,467770.905
ภาคกลาง,นนทบุรี,ระดับอุดมศึกษา,สายวิชาชีพ,87875.45
ภาคกลาง,นนทบุรี,ระดับอุดมศึกษา,สายวิชาการศึกษาระดับมหาวิทยาลัย,34910.1825
ภาคกลาง,นนทบุรี,การศึกษาอื่น ๆ,สายวิชาการศึกษาระดับมหาวิทยาลัย,0
ภาคกลาง,นนทบุรี,ไม่ทราบ,สายวิชาการศึกษาระดับมหาวิทยาลัย,3102.48
ภาคกลาง,ปทุมธานี,รวม,สายวิชาการศึกษาระดับมหาวิทยาลัย,1399951
ภาคกลาง,ปทุมธานี,ไม่ได้เรียน,สายวิชาการศึกษาระดับมหาวิทยาลัย,33253.6425
ภาคกลาง,ปทุมธานี,ก่อนประถมศึกษา,สายวิชาการศึกษาระดับมหาวิทยาลัย,156008.465
ภาคกลาง,ปทุมธานี,ระดับประถมศึกษา,สายวิชาการศึกษาระดับมหาวิทยาลัย,207927.5975
ภาคกลาง,ปทุมธานี,ระดับมัธยมศึกษาตอนต้น,สายวิชาการศึกษาระดับมหาวิทยาลัย,298488.825
ภาคกลาง,ปทุมธานี,ระดับมัธยมศึกษาตอนปลาย,สายสามัญ,277762.3775
ภาคกลาง,ปทุมธานี,ระดับมัธยมศึกษาตอนปลาย,สายอาชีวศึกษา,64412.925
ภาคกลาง,ปทุมธานี,ระดับมัธยมศึกษาตอนปลาย,สายวิชาการศึกษา,417.7775
ภาคกลาง,ปทุมธานี,ระดับอุดมศึกษา,สายวิชาการ,247388.6075
ภาคกลาง,ปทุมธานี,ระดับอุดมศึกษา,สายวิชาชีพ,74505.1375
ภาคกลาง,ปทุมธานี,ระดับอุดมศึกษา,สายวิชาการศึกษาระดับมหาวิทยาลัย,26702.21
ภาคกลาง,ปทุมธานี,การศึกษาอื่น ๆ,สายวิชาการศึกษาระดับมหาวิทยาลัย,0
ภาคกลาง,ปทุมธานี,ไม่ทราบ,สายวิชาการศึกษาระดับมหาวิทยาลัย,13083.425
ภาคกลาง,พระนครศรีอยุธยา,รวม,สายวิชาการศึกษาระดับมหาวิทยาลัย,742171.4975
ภาคกลาง,พระนครศรีอยุธยา,ไม่ได้เรียน,สายวิชาการศึกษาระดับมหาวิทยาลัย,10742.2175
ภาคกลาง,พระนครศรีอยุธยา,ก่อนประถมศึกษา,สายวิชาการศึกษาระดับมหาวิทยาลัย,154168.3775
ภาคกลาง,พระนครศรีอยุธยา,ระดับประถมศึกษา,สายวิชาการศึกษาระดับมหาวิทยาลัย,75639.6775
ภาคกลาง,พระนครศรีอยุธยา,ระดับมัธยมศึกษาตอนต้น,สายวิชาการศึกษาระดับมหาวิทยาลัย,148250.9175
ภาคกลาง,พระนครศรีอยุธยา,ระดับมัธยมศึกษาตอนปลาย,สายสามัญ,126878.5225
ภาคกลาง,พระนครศรีอยุธยา,ระดับมัธยมศึกษาตอนปลาย,สายอาชีวศึกษา,49053.9425
ภาคกลาง,พระนครศรีอยุธยา,ระดับมัธยมศึกษาตอนปลาย,สายวิชาการศึกษา,95.37
ภาคกลาง,พระนครศรีอยุธยา,ระดับอุดมศึกษา,สายวิชาการ,95682.365
ภาคกลาง,พระนครศรีอยุธยา,ระดับอุดมศึกษา,สายวิชาชีพ,64328.335
ภาคกลาง,พระนครศรีอยุธยา,ระดับอุดมศึกษา,สายวิชาการศึกษาระดับมหาวิทยาลัย,17070.2625
ภาคกลาง,พระนครศรีอยุธยา,การศึกษาอื่น ๆ,สายวิชาการศึกษาระดับมหาวิทยาลัย,0
ภาคกลาง,พระนครศรีอยุธยา,ไม่ทราบ,สายวิชาการศึกษาระดับมหาวิทยาลัย,261.51
ภาคกลาง,อ่างทอง,รวม,สายวิชาการศึกษาระดับมหาวิทยาลัย,220047
ภาคกลาง,อ่างทอง,ไม่ได้เรียน,สายวิชาการศึกษาระดับมหาวิทยาลัย,3463.02
ภาคกลาง,อ่างทอง,ก่อนประถมศึกษา,สายวิชาการศึกษาระดับมหาวิทยาลัย,61400.0725
ภาคกลาง,อ่างทอง,ระดับประถมศึกษา,สายวิชาการศึกษาระดับมหาวิทยาลัย,32989.26
ภาคกลาง,อ่างทอง,ระดับมัธยมศึกษาตอนต้น,สายวิชาการศึกษาระดับมหาวิทยาลัย,40881.995
ภาคกลาง,อ่างทอง,ระดับมัธยมศึกษาตอนปลาย,สายสามัญ,32004.9425
ภาคกลาง,อ่างทอง,ระดับมัธยมศึกษาตอนปลาย,สายอาชีวศึกษา,10520.35
ภาคกลาง,อ่างทอง,ระดับมัธยมศึกษาตอนปลาย,สายวิชาการศึกษา,9.35
ภาคกลาง,อ่างทอง,ระดับอุดมศึกษา,สายวิชาการ,20333.42
ภาคกลาง,อ่างทอง,ระดับอุดมศึกษา,สายวิชาชีพ,12143.045
ภาคกลาง,อ่างทอง,ระดับอุดมศึกษา,สายวิชาการศึกษาระดับมหาวิทยาลัย,5549.3375
ภาคกลาง,อ่างทอง,การศึกษาอื่น ๆ,สายวิชาการศึกษาระดับมหาวิทยาลัย,0
ภาคกลาง,อ่างทอง,ไม่ทราบ,สายวิชาการศึกษาระดับมหาวิทยาลัย,752.21
ภาคกลาง,ลพบุรี,รวม,สายวิชาการศึกษาระดับมหาวิทยาลัย,652588.0025
ภาคกลาง,ลพบุรี,ไม่ได้เรียน,สายวิชาการศึกษาระดับมหาวิทยาลัย,19061.31
ภาคกลาง,ลพบุรี,ก่อนประถมศึกษา,สายวิชาการศึกษาระดับมหาวิทยาลัย,170067.4
