,เอ็กซ์ตาซี,0,0,0,0,0,0,0,0,0,0,0,
,กัญชาแห้ง,3,4,2,0,0,6,4,5,4,4,5,
,พืชกระท่อม,1,2,1,0,0,1,1,0,0,2,2,
,เมทแอมเฟตามีน,242,346,188,87,118,584,662,476,452,408,268,
,ไอซ์,19,43,13,5,2,29,40,91,104,144,52,
,โคคาอีน (โคเคน),0,0,0,0,0,0,1,0,0,0,0,
,คีตามีน,0,0,0,0,0,0,0,2,1,2,1,
,โคเดอีน,0,0,0,0,0,0,0,0,0,0,0,
ชัยนาท,รวม,314,390,302,145,139,195,275,271,186,181,195,
,เฮโรอีน,0,0,0,0,0,0,0,0,0,0,0,
,เอ็กซ์ตาซี,0,0,0,0,0,0,0,0,0,0,0,
,กัญชาแห้ง,3,10,1,7,7,10,7,9,11,7,5,
,พืชกระท่อม,0,0,1,1,0,1,1,0,0,1,0,
,เมทแอมเฟตามีน,306,362,296,130,129,171,241,223,147,119,147,
,ไอซ์,5,18,4,7,3,13,26,38,28,54,43,
,โคคาอีน (โคเคน),0,0,0,0,0,0,0,0,0,0,0,
,คีตามีน,0,0,0,0,0,0,0,1,0,,0,
,โคเดอีน,0,0,0,0,0,0,0,0,0,0,0,
สระบุรี,รวม,"1,232","1,443",887,484,276,426,322,378,238,230,198,
,เฮโรอีน,0,0,0,0,0,2,0,0,0,1,1,
,เอ็กซ์ตาซี,0,0,0,0,0,0,0,0,0,0,0,
,กัญชาแห้ง,17,21,19,13,6,8,2,6,0,4,6,
,พืชกระท่อม,15,5,1,0,0,3,1,1,0,1,0,
,เมทแอมเฟตามีน,"1,085","1,249",791,442,258,388,289,315,199,186,163,
,ไอซ์,115,168,76,29,12,24,30,56,37,34,27,
,โคคาอีน (โคเคน),0,0,0,0,0,0,0,0,0,1,0,
,คีตามีน,0,0,0,0,0,1,0,0,2,3,1,
,โคเดอีน,0,0,0,0,0,0,0,0,0,0,0,
ชลบุรี,รวม,"4,831","6,107","5,099","3,108","1,050",863,"2,075","1,651","3,152","3,622","1,919",
,เฮโรอีน,3,6,0,0,2,2,2,3,2,2,1,
,เอ็กซ์ตาซี,8,9,10,11,6,7,10,12,9,30,12,
,กัญชาแห้ง,99,128,159,168,65,34,135,66,184,220,167,
,พืชกระท่อม,8,8,8,18,7,5,7,9,24,52,19,
,เมทแอมเฟตามีน,"4,012","4,830","4,310","2,280",723,588,"1,220",983,"1,396","1,152",752,
,ไอซ์,695,"1,118",598,609,236,215,671,535,"1,490","2,059",940,
,โคคาอีน (โคเคน),1,3,4,4,4,0,5,2,2,4,0,
,คีตามีน,5,4,10,18,7,12,25,41,45,103,28,
,โคเดอีน,0,1,0,0,0,0,0,0,0,0,0,
